timestamp,ecg,ppg,heart_rate
0.0,291.0,0.1,60.0
3057.481,402.0,1.314,60.0
3057.484,298.0,0.1644,60.0
3057.487,380.0,1.2064,60.0
3057.492,303.0,0.3648,60.0
3057.5,359.0,1.1163,60.0
3057.503,316.0,0.6084,60.0
3057.506,342.0,1.009,60.0
3057.509,338.0,0.8836,60.0
3057.512,339.0,0.9371,60.0
3057.518,369.0,1.1381,60.0
3057.526,331.0,0.7844,60.0
3057.532,391.0,1.3566,60.0
3057.539,321.0,0.6567,60.0
3057.542,404.0,1.5,60.0
3057.547,316.0,0.5943,60.0
3057.553,416.0,1.5,60.0
3057.556,307.0,0.5018,60.0
3057.562,427.0,1.5,60.0
3057.565,304.0,0.4385,60.0
3057.576,428.0,1.5,60.0
3057.579,300.0,0.4068,60.0
3057.583,428.0,1.5,60.0
3057.586,305.0,0.422,60.0
3057.591,425.0,1.5,60.0
3057.594,314.0,0.4645,60.0
3057.597,417.0,1.5,60.0
3057.606,335.0,0.5936,60.0
3057.61,421.0,1.4976,60.0
3057.614,354.0,0.6416,60.0
3057.617,400.0,1.2268,60.0
3057.624,350.0,0.6696,60.0
3057.631,365.0,0.981,60.0
3057.642,362.0,0.8586,60.0
3057.644,346.0,0.7475,60.0
3057.65,372.0,0.9531,60.0
3057.652,328.0,0.5287,60.0
3057.655,385.0,1.0606,60.0
3057.659,314.0,0.3201,60.0
3057.669,377.0,1.0245,60.0
3057.672,270.0,0.1,60.0
3057.68,483.0,1.5,60.0
3057.685,380.0,0.1201,60.0
3057.688,503.0,1.351,60.0
3057.691,319.0,0.1,60.0
3057.695,432.0,1.1926,60.0
3057.698,276.0,0.1,60.0
3057.701,406.0,1.2248,60.0
3057.708,284.0,0.1,60.0
3057.711,398.0,1.1215,60.0
3057.714,292.0,0.1,60.0
3057.721,386.0,1.0064,60.0
3057.725,300.0,0.1,60.0
3057.731,372.0,0.8916,60.0
3057.734,314.0,0.1927,60.0
3057.741,355.0,0.7408,60.0
3057.744,325.0,0.3706,60.0
3057.752,334.0,0.592,60.0
3057.755,333.0,0.5609,60.0
3057.758,313.0,0.468,60.0
3057.765,347.0,0.7961,60.0
3057.768,300.0,0.37,60.0
3057.771,369.0,1.0463,60.0
3057.778,299.0,0.3099,60.0
3057.781,393.0,1.2534,60.0
3057.787,297.0,0.2375,60.0
3057.793,411.0,1.432,60.0
3057.796,293.0,0.1844,60.0
3057.802,415.0,1.5,60.0
3057.805,291.0,0.2119,60.0
3057.811,418.0,1.5,60.0
3057.816,293.0,0.2647,60.0
3057.823,416.0,1.5,60.0
3057.827,296.0,0.3425,60.0
3057.83,410.0,1.5,60.0
3057.833,306.0,0.4742,60.0
3057.837,398.0,1.5,60.0
3057.844,318.0,0.6381,60.0
3057.847,385.0,1.4519,60.0
3057.854,330.0,0.7959,60.0
3057.86,370.0,1.3168,60.0
3057.866,350.0,0.9997,60.0
3057.869,356.0,1.1355,60.0
3057.876,373.0,1.2042,60.0
3057.879,350.0,0.9749,60.0
3057.885,395.0,1.3505,60.0
3057.892,333.0,0.7413,60.0
3057.899,390.0,1.3783,60.0
3057.902,306.0,0.5717,60.0
3057.906,398.0,1.5,60.0
3057.909,291.0,0.3995,60.0
3057.912,404.0,1.5,60.0
3057.915,285.0,0.2832,60.0
3057.918,408.0,1.5,60.0
3057.925,281.0,0.1831,60.0
3057.928,380.0,1.3826,60.0
3057.931,259.0,0.1314,60.0
3057.938,480.0,1.5,60.0
3057.95,377.0,0.2786,60.0
3057.953,467.0,1.3035,60.0
3057.959,327.0,0.1,60.0
3057.965,391.0,1.0397,60.0
3057.968,299.0,0.1405,60.0
3057.976,365.0,0.9708,60.0
3057.983,319.0,0.341,60.0
3057.988,351.0,0.7411,60.0
3057.996,335.0,0.4656,60.0
3057.999,338.0,0.5465,60.0
3058.004,353.0,0.607,60.0
3058.007,320.0,0.3224,60.0
3058.012,368.0,0.7666,60.0
3058.015,305.0,0.1429,60.0
3058.018,379.0,0.8992,60.0
3058.022,291.0,0.1,60.0
3058.034,387.0,1.0211,60.0
3058.036,279.0,0.1,60.0
3058.047,395.0,1.1452,60.0
3058.05,275.0,0.1,60.0
3058.057,407.0,1.2648,60.0
3058.063,286.0,0.1,60.0
3058.067,415.0,1.2957,60.0
3058.07,297.0,0.1,60.0
3058.077,417.0,1.2995,60.0
3058.084,306.0,0.1,60.0
3058.091,407.0,1.2481,60.0
3058.095,314.0,0.2138,60.0
3058.103,397.0,1.2064,60.0
3058.106,329.0,0.4136,60.0
3058.116,385.0,1.1201,60.0
3058.123,345.0,0.6304,60.0
3058.126,371.0,1.0165,60.0
3058.13,361.0,0.8558,60.0
3058.133,352.0,0.8802,60.0
3058.14,375.0,1.0903,60.0
3058.143,338.0,0.7788,60.0
3058.15,388.0,1.2876,60.0
3058.154,322.0,0.6633,60.0
3058.157,399.0,1.4747,60.0
3058.163,310.0,0.5726,60.0
3058.166,413.0,1.5,60.0
3058.169,304.0,0.4923,60.0
3058.176,426.0,1.5,60.0
3058.179,309.0,0.4714,60.0
3058.182,435.0,1.5,60.0
3058.185,303.0,0.3922,60.0
3058.189,418.0,1.5,60.0
3058.192,295.0,0.4188,60.0
3058.195,408.0,1.5,60.0
3058.2,298.0,0.4645,60.0
3058.203,395.0,1.5,60.0
3058.212,308.0,0.5562,60.0
3058.215,383.0,1.4208,60.0
3058.218,319.0,0.6393,60.0
3058.225,341.0,1.0668,60.0
3058.233,306.0,0.7206,60.0
3058.236,418.0,1.5,60.0
3058.239,428.0,1.0112,60.0
3058.243,392.0,0.7155,60.0
3058.246,387.0,0.8353,60.0
3058.253,328.0,0.4759,60.0
3058.258,366.0,0.9685,60.0
3058.261,301.0,0.3585,60.0
3058.264,384.0,1.1522,60.0
3058.267,289.0,0.1389,60.0
3058.27,394.0,1.2169,60.0
3058.277,283.0,0.1,60.0
3058.28,401.0,1.2399,60.0
3058.284,279.0,0.1,60.0
3058.287,400.0,1.2131,60.0
3058.29,278.0,0.1,60.0
3058.295,400.0,1.1873,60.0
3058.298,277.0,0.1,60.0
3058.305,387.0,1.0947,60.0
3058.309,285.0,0.1,60.0
3058.324,380.0,1.0051,60.0
3058.332,300.0,0.1,60.0
3058.335,374.0,0.8988,60.0
3058.338,317.0,0.1938,60.0
3058.341,364.0,0.7707,60.0
3058.344,339.0,0.3985,60.0
3058.347,354.0,0.629,60.0
3058.35,357.0,0.5901,60.0
3058.353,339.0,0.4876,60.0
3058.36,374.0,0.8103,60.0
3058.363,324.0,0.3599,60.0
3058.37,389.0,1.0262,60.0
3058.373,307.0,0.2369,60.0
3058.377,397.0,1.2158,60.0
3058.384,301.0,0.2195,60.0
3058.387,410.0,1.3837,60.0
3058.394,296.0,0.1852,60.0
3058.401,414.0,1.4935,60.0
3058.407,290.0,0.1895,60.0
3058.413,414.0,1.5,60.0
3058.416,294.0,0.2709,60.0
3058.422,410.0,1.5,60.0
3058.429,295.0,0.3491,60.0
3058.431,404.0,1.5,60.0
3058.437,305.0,0.484,60.0
3058.445,396.0,1.5,60.0
3058.448,320.0,0.6497,60.0
3058.457,392.0,1.4756,60.0
3058.46,346.0,0.8506,60.0
3058.467,373.0,1.2508,60.0
3058.473,345.0,0.9529,60.0
3058.479,346.0,1.101,60.0
3058.482,356.0,1.1549,60.0
3058.487,330.0,0.9448,60.0
3058.49,366.0,1.2837,60.0
3058.493,314.0,0.7815,60.0
3058.496,382.0,1.4366,60.0
3058.499,299.0,0.5829,60.0
3058.502,373.0,1.4236,60.0
3058.505,264.0,0.3789,60.0
3058.508,468.0,1.5,60.0
3058.511,354.0,0.3964,60.0
3058.514,459.0,1.5,60.0
3058.517,298.0,0.1,60.0
3058.52,424.0,1.5,60.0
3058.524,269.0,0.1,60.0
3058.532,394.0,1.4882,60.0
3058.538,282.0,0.1608,60.0
3058.542,384.0,1.3024,60.0
3058.545,290.0,0.1985,60.0
3058.548,375.0,1.1494,60.0
3058.552,302.0,0.2582,60.0
3058.555,361.0,0.9504,60.0
3058.558,316.0,0.3602,60.0
3058.561,345.0,0.7359,60.0
3058.564,329.0,0.4736,60.0
3058.571,329.0,0.5347,60.0
3058.574,342.0,0.5963,60.0
3058.581,307.0,0.3076,60.0
3058.586,354.0,0.7537,60.0
3058.59,294.0,0.1508,60.0
3058.593,372.0,0.9139,60.0
3058.596,289.0,0.1,60.0
3058.603,392.0,1.0583,60.0
3058.606,289.0,0.1,60.0
3058.609,405.0,1.1479,60.0
3058.612,287.0,0.1,60.0
3058.616,410.0,1.2114,60.0
3058.619,284.0,0.1,60.0
3058.627,408.0,1.2487,60.0
3058.634,289.0,0.1,60.0
3058.637,405.0,1.2495,60.0
3058.644,294.0,0.1,60.0
3058.65,396.0,1.2219,60.0
3058.653,304.0,0.1878,60.0
3058.657,384.0,1.1567,60.0
3058.66,316.0,0.3785,60.0
3058.663,371.0,1.0788,60.0
3058.668,333.0,0.6063,60.0
3058.672,354.0,0.9526,60.0
3058.675,348.0,0.8415,60.0
3058.687,340.0,0.8526,60.0
3058.69,366.0,1.0766,60.0
3058.696,326.0,0.7333,60.0
3058.699,383.0,1.3004,60.0
3058.702,323.0,0.6786,60.0
3058.707,404.0,1.4857,60.0
3058.71,315.0,0.5655,60.0
3058.717,406.0,1.5,60.0
3058.72,287.0,0.4172,60.0
3058.723,404.0,1.5,60.0
3058.726,282.0,0.4156,60.0
3058.732,405.0,1.5,60.0
3058.743,279.0,0.399,60.0
3058.746,401.0,1.5,60.0
3058.752,283.0,0.437,60.0
3058.759,385.0,1.5,60.0
3058.762,250.0,0.3009,60.0
3058.769,438.0,1.5,60.0
3058.772,374.0,0.7505,60.0
3058.778,452.0,1.5,60.0
3058.784,335.0,0.407,60.0
3058.787,384.0,1.2629,60.0
3058.793,318.0,0.5969,60.0
3058.798,336.0,1.0083,60.0
3058.801,339.0,0.9083,60.0
3058.805,324.0,0.7743,60.0
3058.807,353.0,0.9934,60.0
3058.817,309.0,0.5541,60.0
3058.827,368.0,1.0977,60.0
3058.83,294.0,0.3284,60.0
3058.838,380.0,1.1846,60.0
3058.846,283.0,0.1435,60.0
3058.849,389.0,1.2365,60.0
3058.852,274.0,0.1,60.0
3058.855,390.0,1.236,60.0
3058.858,266.0,0.1,60.0
3058.862,389.0,1.2259,60.0
3058.865,267.0,0.1,60.0
3058.872,391.0,1.1983,60.0
3058.877,279.0,0.1,60.0
3058.88,394.0,1.1325,60.0
3058.883,298.0,0.1,60.0
3058.886,393.0,1.0194,60.0
3058.889,314.0,0.1,60.0
3058.896,383.0,0.8797,60.0
3058.904,326.0,0.1974,60.0
3058.907,367.0,0.7362,60.0
3058.912,341.0,0.3859,60.0
3058.915,352.0,0.5954,60.0
3058.918,357.0,0.5866,60.0
3058.922,336.0,0.4544,60.0
